time (s),inlet temp (K),outlet temp (K)
7407.5,745.467339437885,748.671553452566
7408,745.542763056657,748.647798022736
7408.5,745.619241015747,748.624518477417
7409,745.696802766,748.60174870809
7409.5,745.775448307417,748.579452831265
7410,745.855177639998,748.557680030155
7410.5,745.935961312896,748.536383963615
7411,746.017825831874,748.515603654435
7411.5,746.100747636253,748.495311544569
7412,746.184750286711,748.475533261242
7412.5,746.269807277487,748.456275542489
7413,746.355886212648,748.437550444905
7413.5,746.443048938973,748.419323275859
7414,746.531266005615,748.401608637217
7414.5,746.620505016643,748.38441066703
7415,746.710795422903,748.367762870689
7415.5,746.802110718633,748.351640756148
7416,746.894477409595,748.336036833944
7416.5,746.987868990028,748.320977300023
7417,747.082279569762,748.306490820419
7417.5,747.177744489813,748.292510301605
7418,747.274198958318,748.279060718804
7418.5,747.371678316293,748.266190706942
7419,747.470147222722,748.253875957958
7419.5,747.569638073536,748.242079183788
7420,747.670150868737,748.230805978542
7420.5,747.771656157476,748.220059447497
7421,747.874153939753,748.209800701318
7421.5,747.9776383254,748.199999447402
7422,748.08211814967,748.190674735436
7422.5,748.187587522395,748.181829462205
7423,748.294016992726,748.173393875017
7423.5,748.401438956597,748.165383490895
7424,748.509818072989,748.157796064826
7424.5,748.619160232074,748.150629285896
7425,748.729491939612,748.143850632206
7425.5,748.840754293911,748.137493318524
7426,748.952976745818,748.131507343103
7426.5,749.066159295331,748.125923677853
7427,749.180272491604,748.120724733844
7427.5,749.295342840401,748.115870079903
7428,749.411343835957,748.111392691415
7428.5,749.528275478274,748.1072441618
7429,749.646134822266,748.1034825329
7429.5,749.764892417087,748.100055603722
7430,749.884580658669,748.096991272012
7430.5,750.005196601926,748.094224892906
7431,750.126710796012,748.091810913856
7431.5,750.249123240927,748.089724335392
7432,750.37243393667,748.087951797143
7432.5,750.496645828327,748.086696259648
7433,750.621753025728,748.085687370788
7433.5,750.747726078027,748.08492034823
7434,750.874600326239,748.084381311029
7434.5,751.002340429348,748.084084140283
7435,751.130916936508,748.084032700337
7435.5,751.260391694496,748.084264344632
7436,751.39070580162,748.08477321115
7436.5,751.521882818556,748.085539556896
7437,751.653928635474,748.086569177112
7437.5,751.786781405595,748.087865037327
7438,751.92049708553,748.089429384309
7438.5,752.055022663752,748.091258489883
7439,752.190384646025,748.093364147127
7439.5,752.326580087263,748.095703027731
7440,752.463582481706,748.098370617683
7440.5,752.601388884267,748.101317052069
7441,752.740002240031,748.10456288413
7441.5,752.879419603915,748.108169099041
7442,753.019643921002,748.112071792935
7442.5,753.160639850277,748.116266563633
7443,753.302413281908,748.120844540836
7443.5,753.444990721658,748.125749187225
7444,753.588310322749,748.131031200964
7444.5,753.732407426196,748.136688359624
7445,753.877276141831,748.142732478075
7445.5,754.022889963891,748.149151111211
7446,754.169245947291,748.156037591824
7446.5,754.316347037117,748.163373546529
7447,754.464190288283,748.1711685664
7447.5,754.61277570079,748.179452055903
7448,754.762076768875,748.188229965025
7448.5,754.912117053215,748.197557397249
7449,755.062840597203,748.207466721534
7449.5,755.214276851684,748.217926374986
7450,755.366425816659,748.229001030717
7450.5,755.519287492128,748.240678240975
7451,755.672800031312,748.253027145013
7451.5,755.827022335905,748.266075646031
7452,755.981927900145,748.279824546698
7452.5,756.1374843281,748.294329714776
7453,756.293721070617,748.309616172431
7453.5,756.450611621935,748.325678834543
7454,756.608150091882,748.342614725397
7454.5,756.766339425545,748.360351840013
7455,756.925176677839,748.37903356318
7455.5,757.084667738933,748.398632652331
7456,757.244744871879,748.419192617409
7456.5,757.40547286854,748.44073836511
7457,757.566792827223,748.463316290259
7457.5,757.728757759451,748.486972784585
7458,757.891285202855,748.511612674278
7458.5,758.054431114042,748.537734149873
7459,758.218163097082,748.564997034588
7459.5,758.382484097058,748.593375828773
7460,758.547364663125,748.622939822551
7460.5,758.712834246128,748.653765499757
7461,758.878857505052,748.685942656233
7461.5,759.045469780913,748.71951480071
7462,759.212582721171,748.754550951965
7462.5,759.380278788195,748.791154896146
7463,759.548504970464,748.829314075134
7463.5,759.717255377806,748.869126285278
7464,759.886503504459,748.910630563747
7464.5,760.056308252119,748.953941567266
7465,760.226607774005,748.999129215987
7465.5,760.397405015203,749.046379451026
7466,760.568723536389,749.095684214985
7466.5,760.740513271126,749.147249625645
7467,760.912794835005,749.201120498411
7467.5,761.085541722264,749.257524697171
7468,761.25878338375,749.316600499256
7468.5,761.432460917769,749.378469178855
7469,761.606600830084,749.443339679387
7469.5,761.781206065779,749.511405514691
7470,761.956247174007,749.582876113453
7470.5,762.131718264599,749.657968460949
7471,762.307625227725,749.736971699519
7471.5,762.483965118299,749.820111717963
7472,762.660708485475,749.907688736917
7472.5,762.837855329253,749.999876417243
7473,763.015402704548,750.097032964573
7473.5,763.193353556445,750.199462887512
7474,763.371675489011,750.307536089673
7474.5,763.55040089818,750.421670257497
7475,763.729467937172,750.542294268609
7475.5,763.908935507682,750.66989205389
7476,764.088744708014,750.804982608099
7476.5,764.26889553817,750.948064134995
7477,764.449417448997,751.099682478757
7477.5,764.630248593715,751.260369589148
7478,764.811421368256,751.430534730557
7478.5,764.992932827537,751.610523234014
7479,765.174756465794,751.8006663285
7479.5,765.356859887095,752.001082319866
7480,765.539299048051,752.211832169142
7480.5,765.722020937137,752.432944909738
7481,765.905019664183,752.664465005483
7481.5,766.088301119359,752.906326374575
7482,766.271856467411,753.158529980865
7482.5,766.455694543592,753.421209178091
7483,766.639777061802,753.69457849792
7483.5,766.82410991221,753.978844378992
7484,767.008687204647,754.274030353397
7484.5,767.193514829282,754.5803255287
7485,767.378560390184,754.89813524626
7485.5,767.563820942268,755.227932066461
7486,767.749299430618,755.570488485546
7486.5,767.93499291015,755.926565742706
7487,768.120874875103,756.2971587935
7487.5,768.306968886152,756.683758360723
7488,768.493221931775,757.087725960698
7488.5,768.679660517732,757.510497938001
7489,768.866284644025,757.952951660849
7489.5,769.053061914722,758.414731485268
7490,769.239998219991,758.894331315896
7490.5,769.427084724579,759.389533348867
7491,769.614297867809,759.897765900509
7491.5,769.801664155442,760.417066447703
7492,769.989124685785,760.946512850683
7492.5,770.176741305617,761.488852314923
7493,770.364449223073,762.037637245764
7493.5,770.552280834087,762.596176083033
7494,770.740174291879,763.164625251939
7494.5,770.928191443227,763.743812630662
7495,771.116270441354,764.335294445292
7495.5,771.304443682191,764.940687723617
7496,771.49264931896,765.560765388161
7496.5,771.680943308268,766.193786297012
7497,771.869272638594,766.836682830191
7497.5,772.057660870612,767.485225883241
7498,772.246081498563,768.135243783613
7498.5,772.43453157736,768.782744903472
7499,772.623014052089,769.423937604153
7499.5,772.811496526818,770.05725087555
7500,772.999979001546,770.681554809205
7500.5,773.188493872207,771.294481766459
7501,773.376976346935,771.894550237743
7501.5,773.565455876579,772.481924638481
7502,773.753879449615,773.054313584656
7502.5,773.942300077565,773.606556671195
7503,774.130688309584,774.13155335861
7503.5,774.319047090756,774.621768613431
7504,774.507311629218,775.073201530072
7504.5,774.695546716833,775.488393189204
7505,774.883717012585,775.871047962533
7505.5,775.071798955797,776.21933229647
7506,775.259786656298,776.529080015757
7506.5,775.447709564937,776.797673512166
7507,775.635511725104,777.022334741351
7507.5,775.823249093407,777.207290159841
7508,776.010833317307,777.361102053721
7508.5,776.198326243582,777.488808431553
7509,776.385692531215,777.593121820562
7509.5,776.572905674445,777.678795863131
7510,776.759992179033,777.749726247281
7510.5,776.946925539218,777.810236844435
7511,777.133705754999,777.864157666196
7511.5,777.320300430445,777.914073267689
7512,777.506768467249,777.966854539837
7512.5,777.693018567787,778.028559083743
7513,777.879115523921,778.101772991791
7513.5,778.064997488873,778.189876996859
7514,778.250690968406,778.297332126015
7514.5,778.436169456756,778.431096094225
7515,778.62143000884,778.584051938574
7515.5,778.806475569742,778.73922937487
7516,778.991300249293,778.88980493257
7516.5,779.175880486814,779.032222248883
7517,779.360213337223,779.158816452168
7517.5,779.544295855432,779.279773820474
7518,779.728104480767,779.430866935645
7518.5,779.911659828818,779.64988127841
7519,780.094967789756,779.957223771232
7519.5,780.277969461887,780.342289268204
7520,780.460691350973,780.750156750335
7520.5,780.643101061082,781.123951971186
7521,780.82523393323,781.433263158291
7521.5,781.007057571487,781.686759097711
7522,781.188539579921,781.899697757094
7522.5,781.369712354462,782.091982833605
7523,781.550572950027,782.276564425296
7523.5,781.731065410007,782.46146285592
7524,781.91124569101,782.651243939665
7524.5,782.091054891342,782.848092347231
7525,782.270493011005,783.053373634487
7525.5,782.449589500844,783.267780385307
7526,782.628285459166,783.49076076873
7526.5,782.806636842579,783.72015814711
7527,782.984587694476,783.951469256582
7527.5,783.162135069771,784.176733336289
7528,783.339281913549,784.384249051413
7528.5,783.516025280725,784.562438507993
7529,783.692335720452,784.70451499765
7529.5,783.868239738493,784.811081313938
7530,784.04371377417,784.886366042722
7530.5,784.218751937314,784.936144558051
7531,784.393357173009,784.967294103286
7531.5,784.567500030408,784.982225300298
7532,784.741207015274,784.9808633547
7532.5,784.914419225913,784.986520773866
7533,785.087195564019,785.047589761305
7533.5,785.259447677051,785.104056596411
7534,785.43126391755,785.118397341556
7534.5,785.602555932975,785.112901970043
7535,785.773382625019,785.092009973689
7535.5,785.943682146906,785.072960602124
7536,786.113457443718,785.076605289824
7536.5,786.282735021218,785.107328499661
7537,786.45148542856,785.158532813654
7537.5,786.619711610829,785.223322284199
7538,786.787378227007,785.293658401321
7538.5,786.954517673026,785.360375198272
7539,787.121103443125,785.415172984352
7539.5,787.287126702049,785.457364427031
7540,787.452596285053,785.493173008624
7540.5,787.617506301966,785.533384009645
7541,787.781797851095,785.587455179228
7541.5,787.945529834135,785.662006717834
7542,788.108675745322,785.758956280353
7542.5,788.271232639573,785.87961950123
7543,788.433168120954,786.020129804316
7543.5,788.594517530484,786.173950469553
7544,788.755216076298,786.332126729807
7544.5,788.915322660091,786.491526648526
7545,789.074784270338,786.642129251507
7545.5,789.233621522632,786.772316628386
7546,789.391810856295,786.865421614362
7546.5,789.54937877709,786.914846915274
7547,789.706266383322,786.929812429392
7547.5,789.862506070924,786.932245465379
7548,790.018062498879,786.952597071897
7548.5,790.172965118034,787.003844275343
7549,790.327160916865,787.070898228285
7549.5,790.480702906896,787.135505465403
7550,790.633535131518,787.185929747317
